Player,Year,Pos,PPG,APG,RPG,BPG,SPG,PER,TS%,Score,Label
Dell Curry,1990,SG,15.970149253731343,2.373134328358209,2.5074626865671643,0.3880597014925373,1.462686567164179,15.9,0.517,7.259834328358209,Reserva
Quintin Dailey,1990,SG,8.233333333333333,1.1333333333333333,1.7,0.0,0.4,10.0,0.459,4.0009,Reserva
Adrian Dantley*,1990,SF,14.71111111111111,1.7777777777777777,3.8222222222222224,0.15555555555555556,0.4444444444444444,15.4,0.556,7.603377777777777,Reserva
Brad Daugherty,1990,C,16.829268292682926,3.1707317073170733,9.097560975609756,0.5365853658536586,0.7073170731707317,16.0,0.543,7.856418292682926,Reserva
Brad Davis,1990,PG,6.438356164383562,3.315068493150685,1.273972602739726,0.1232876712328767,0.6438356164383562,13.7,0.575,4.88236301369863,Reserva
Charles Davis,1990,SF,2.452830188679245,0.33962264150943394,1.528301886792453,0.1509433962264151,0.18867924528301888,6.7,0.402,2.1206716981132074,Reserva
Terry Davis,1990,PF,4.73015873015873,0.3968253968253968,3.634920634920635,0.4444444444444444,0.3968253968253968,9.0,0.496,3.6297587301587297,Reserva
Walter Davis,1990,SG,17.492753623188406,2.246376811594203,2.5942028985507246,0.13043478260869565,0.855072463768116,18.3,0.533,7.9577202898550725,Reserva
Johnny Dawkins,1990,PG,14.345679012345679,7.419753086419753,3.049382716049383,0.1111111111111111,1.4938271604938271,16.0,0.549,8.638233333333334,Reserva
Vinny Del,1990,SG,9.723684210526315,3.289473684210526,2.6052631578947367,0.13157894736842105,0.8421052631578947,12.6,0.52,5.524236842105262,Reserva
Byron Dinkins,1990,PG,3.484848484848485,2.272727272727273,1.2121212121212122,0.06060606060606061,0.5757575757575758,10.9,0.471,3.3487666666666667,Reserva
Vlade Divac,1990,C,8.548780487804878,0.9146341463414634,6.2439024390243905,1.3902439024390243,0.9634146341463414,17.5,0.544,5.707687804878049,Reserva
James Donaldson,1990,C,9.10958904109589,0.7808219178082192,8.63013698630137,0.6438356164383562,0.3013698630136986,12.2,0.581,5.820967808219177,Reserva
Sherman Douglas,1990,PG,14.25925925925926,7.6419753086419755,2.54320987654321,0.12345679012345678,1.7901234567901234,17.0,0.534,8.842906172839506,Reserva
Terry Dozier,1990,SF,2.4444444444444446,0.3333333333333333,1.6666666666666667,0.2222222222222222,0.6666666666666666,5.1,0.36,1.9565555555555556,Reserva
Greg Dreiling,1990,C,1.3265306122448979,0.16326530612244897,1.7755102040816326,0.2857142857142857,0.08163265306122448,6.0,0.478,1.493287755102041,Reserva
Larry Drew,1990,PG,5.225,2.7125,1.225,0.05,0.5875,10.2,0.511,3.8367249999999995,Reserva
Clyde Drexler*,1990,SG,23.328767123287673,5.917808219178082,6.945205479452055,0.6986301369863014,1.9863013698630136,22.2,0.551,11.288524657534246,Role Player
Kevin Duckworth,1990,C,16.182926829268293,1.1097560975609757,6.2073170731707314,0.4146341463414634,0.43902439024390244,13.3,0.517,6.558289024390245,Reserva
Chris Dudley,1990,PF,5.46875,0.609375,6.609375,1.125,0.640625,9.5,0.402,4.6042625,Reserva
Joe Dumars*,1990,SG,17.8,4.906666666666666,2.8266666666666667,0.02666666666666667,0.84,17.2,0.555,8.802833333333334,Reserva
Mike Dunleavy,1990,PG,3.4,2.0,0.4,0.0,0.2,5.1,0.485,2.3634999999999997,Reserva
T.R. Dunn,1990,SF,1.7538461538461538,0.6615384615384615,2.123076923076923,0.06153846153846154,0.6307692307692307,9.8,0.499,2.5399,Reserva
Ledell Eackles,1990,SG,13.525641025641026,2.3333333333333335,2.2435897435897436,0.05128205128205128,0.6410256410256411,14.3,0.496,6.392676923076923,Reserva
Mark Eaton,1990,C,4.817073170731708,0.47560975609756095,7.329268292682927,2.451219512195122,0.4024390243902439,10.6,0.561,4.86305,Reserva
Blue Edwards,1990,SF,8.865853658536585,1.7682926829268293,3.0609756097560976,0.43902439024390244,0.926829268292683,10.7,0.556,5.069136585365854,Reserva
James Edwards,1990,C,14.5,0.7682926829268293,4.2073170731707314,0.45121951219512196,0.2804878048780488,13.3,0.549,5.63245,Reserva
Jay Edwards,1990,SG,1.75,1.0,0.5,0.0,0.25,7.8,0.421,1.9996,Reserva
Kevin Edwards,1990,SG,12.025641025641026,3.230769230769231,3.6153846153846154,0.4230769230769231,1.6025641025641026,11.6,0.451,5.9222794871794875,Reserva
Craig Ehlo,1990,SG,13.604938271604938,4.580246913580247,5.419753086419753,0.2839506172839506,1.5555555555555556,14.5,0.539,7.23322098765432,Reserva
Sean Elliott,1990,SF,10.0,1.9012345679012346,3.6666666666666665,0.1728395061728395,0.5555555555555556,12.5,0.546,5.735772839506173,Reserva
Dale Ellis,1990,SG,23.509090909090908,2.0,4.327272727272727,0.12727272727272726,1.0727272727272728,19.0,0.58,9.485272727272728,Reserva
Pervis Ellison,1990,C,7.970588235294118,1.911764705882353,5.764705882352941,1.6764705882352942,0.47058823529411764,10.3,0.475,4.796397058823529,Reserva
Alex English*,1990,SF,17.9125,2.8125,3.575,0.2875,0.6375,17.9,0.522,8.91845,Reserva
Patrick Ewing*,1990,C,28.621951219512194,2.2195121951219514,10.890243902439025,3.9878048780487805,0.9512195121951219,25.8,0.599,12.598364634146341,Role Player
Jim Farmer,1990,SG,6.394736842105263,0.6578947368421053,1.131578947368421,0.02631578947368421,0.4473684210526316,15.5,0.51,4.2049473684210525,Reserva
Duane Ferrell,1990,SF,0.8571428571428571,0.14285714285714285,0.5,0.0,0.07142857142857142,8.1,0.361,1.6153857142857142,Reserva
Vern Fleming,1990,PG,14.341463414634147,7.439024390243903,3.926829268292683,0.12195121951219512,1.1219512195121952,16.3,0.561,8.690124390243904,Reserva
Sleepy Floyd,1990,PG,12.195121951219512,7.317073170731708,2.4146341463414633,0.13414634146341464,1.146341463414634,14.2,0.552,7.794956097560975,Reserva
Tellis Frank,1990,PF,9.545454545454545,1.103896103896104,5.0,0.35064935064935066,0.6623376623376623,11.1,0.518,5.681735064935065,Reserva
Corey Gaines,1990,SG,1.1111111111111112,2.888888888888889,0.5555555555555556,0.0,0.4444444444444444,6.2,0.363,2.2551888888888882,Reserva
Kevin Gamble,1990,SF,5.098591549295775,1.676056338028169,1.5774647887323943,0.11267605633802817,0.39436619718309857,12.3,0.52,3.792774647887324,Reserva
Winston Garland,1990,PG,7.265822784810126,3.8354430379746836,2.7088607594936707,0.12658227848101267,0.9873417721518988,9.8,0.458,4.67466075949367,Reserva
Tom Garrick,1990,SG,6.958904109589041,3.958904109589041,2.219178082191781,0.0958904109589041,1.2328767123287672,11.8,0.539,4.949242465753424,Reserva
Kenny Gattison,1990,PF,5.904761904761905,0.6190476190476191,3.126984126984127,0.49206349206349204,0.5555555555555556,12.9,0.586,4.495187301587302,Reserva
Derrick Gervin,1990,PF,11.952380952380953,0.38095238095238093,3.0952380952380953,0.3333333333333333,0.9523809523809523,22.9,0.531,7.821433333333332,Reserva
Armen Gilliam,1990,PF,16.723684210526315,1.3026315789473684,7.881578947368421,0.6710526315789473,0.9078947368421053,16.6,0.565,9.297815789473685,Reserva
Mike Gminski,1990,C,13.728395061728396,1.5802469135802468,8.481481481481481,1.2592592592592593,0.5308641975308642,15.7,0.503,7.200088271604939,Reserva
Gary Grant,1990,PG,13.068181818181818,10.045454545454545,4.431818181818182,0.11363636363636363,2.4545454545454546,15.3,0.507,9.128654545454546,Reserva
Greg Grant,1990,PG,3.1044776119402986,2.5074626865671643,0.8805970149253731,0.014925373134328358,0.5373134328358209,9.7,0.43,3.151731343283582,Reserva
Harvey Grant,1990,PF,8.197530864197532,1.617283950617284,4.222222222222222,0.5308641975308642,0.6419753086419753,12.0,0.502,5.271187654320987,Reserva
Horace Grant,1990,PF,13.3875,2.8375,7.8625,1.05,1.15,16.6,0.555,8.35425,Reserva
Stuart Gray,1990,C,2.0,0.3275862068965517,2.5,0.4482758620689655,0.25862068965517243,8.5,0.485,2.1363189655172414,Reserva
Jeff Grayer,1990,SF,7.71830985915493,1.5070422535211268,3.056338028169014,0.14084507042253522,0.676056338028169,11.4,0.495,4.767950704225353,Reserva
A.C. Green,1990,PF,12.939024390243903,1.0975609756097562,8.682926829268293,0.6097560975609756,0.8048780487804879,14.7,0.548,8.019556097560976,Reserva
Rickey Green,1990,PG,3.536231884057971,2.63768115942029,0.782608695652174,0.014492753623188406,0.7391304347826086,10.9,0.481,3.490346376811594,Reserva
Sidney Green,1990,C,10.424657534246576,1.356164383561644,8.054794520547945,0.3561643835616438,0.684931506849315,12.7,0.501,5.88546095890411,Reserva
Dave Greenwood,1990,PF,1.6216216216216217,0.32432432432432434,2.108108108108108,0.24324324324324326,0.10810810810810811,10.9,0.463,2.6245432432432434,Reserva
Darrell Griffith,1990,SG,8.939024390243903,0.7682926829268293,2.024390243902439,0.23170731707317074,0.8292682926829268,13.6,0.536,4.597258536585366,Reserva
Scott Haffner,1990,PG,4.558139534883721,1.8604651162790697,1.186046511627907,0.046511627906976744,0.3023255813953488,8.3,0.43,3.078697674418605,Reserva
Jack Haley,1990,PF,5.388059701492537,0.3880597014925373,4.477611940298507,0.1791044776119403,0.26865671641791045,8.5,0.449,3.8766164179104474,Reserva
Tom Hammonds,1990,PF,5.262295081967213,0.8360655737704918,2.7540983606557377,0.22950819672131148,0.18032786885245902,10.5,0.475,3.792991803278689,Reserva
Bob Hansen,1990,SG,7.617283950617284,1.8395061728395061,2.8271604938271606,0.13580246913580246,0.6419753086419753,8.5,0.517,3.874848148148148,Reserva
Bill Hanzlik,1990,PF,6.172839506172839,2.2962962962962963,2.5555555555555554,0.35802469135802467,0.9629629629629629,10.3,0.525,4.092561728395062,Reserva
Tim Hardaway,1990,PG,14.708860759493671,8.721518987341772,3.9240506329113924,0.1518987341772152,2.088607594936709,16.0,0.525,9.182246835443038,Reserva
Derek Harper,1990,PG,17.963414634146343,7.426829268292683,2.975609756097561,0.3170731707317073,2.2804878048780486,19.8,0.567,10.116943902439024,Role Player
Ron Harper,1990,SG,22.8,5.2,5.885714285714286,1.1714285714285715,2.3142857142857145,20.2,0.54,10.604,Role Player
Steve Harris,1990,SG,2.066666666666667,0.06666666666666667,0.6666666666666666,0.06666666666666667,0.4666666666666667,6.0,0.371,1.4770999999999999,Reserva
Scott Hastings,1990,PF,1.05,0.2,0.8,0.075,0.075,7.0,0.492,1.5892000000000002,Reserva
Hersey Hawkins,1990,SG,18.475609756097562,3.182926829268293,3.707317073170732,0.34146341463414637,1.5853658536585367,17.0,0.57,8.339926829268293,Reserva
Gerald Henderson,1990,PG,2.3684210526315788,1.2982456140350878,0.7543859649122807,0.03508771929824561,0.2807017543859649,11.9,0.584,2.8898912280701747,Reserva
Mike Higgins,1990,SF,1.2727272727272727,0.2727272727272727,0.36363636363636365,0.18181818181818182,0.18181818181818182,10.9,0.565,2.1824090909090907,Reserva
Rod Higgins,1990,PF,11.085365853658537,1.5731707317073171,5.146341463414634,0.6463414634146342,0.573170731707317,15.5,0.6,6.8618292682926825,Reserva
Roy Hinson,1990,PF,15.04,0.88,6.88,1.08,0.56,15.2,0.57,8.389,Reserva
Craig Hodges,1990,SG,6.4603174603174605,1.746031746031746,0.8412698412698413,0.031746031746031744,0.47619047619047616,12.5,0.589,4.160090476190477,Reserva
Mike Holton,1990,PG,1.8125,1.0,0.125,0.0,0.0625,2.9,0.539,1.292025,Reserva
Dave Hoppen,1990,C,4.0,0.6,3.6,0.1,0.2,7.7,0.441,2.69705,Reserva
Dennis Hopson,1990,SG,15.835443037974683,1.9113924050632911,3.5316455696202533,0.6455696202531646,1.2658227848101267,13.6,0.503,6.718148101265823,Reserva
Tito Horford,1990,C,1.457142857142857,0.05714285714285714,1.6857142857142857,0.45714285714285713,0.14285714285714285,5.1,0.351,1.4389785714285714,Reserva
Jeff Hornacek,1990,SG,17.597014925373134,5.029850746268656,4.6716417910447765,0.208955223880597,1.7462686567164178,19.6,0.596,9.159301492537313,Reserva
Ed Horton,1990,PF,4.488888888888889,0.4222222222222222,2.4,0.1111111111111111,0.2,14.5,0.525,4.085277777777778,Reserva
Eddie Hughes,1990,PG,3.4833333333333334,1.9333333333333333,1.1666666666666667,0.016666666666666666,0.8,8.3,0.482,2.8407,Reserva
Jay Humphries,1990,PG,15.271604938271604,5.827160493827161,3.3209876543209877,0.13580246913580246,1.9259259259259258,16.4,0.547,8.372107407407407,Reserva
Byron Irvin,1990,SG,5.16,0.94,1.48,0.02,0.56,15.6,0.531,4.012099999999999,Reserva
Jaren Jackson,1990,SG,2.392857142857143,0.4642857142857143,0.8571428571428571,0.03571428571428571,0.4642857142857143,10.8,0.428,2.423514285714286,Reserva
Mark Jackson,1990,PG,9.865853658536585,7.365853658536586,3.8780487804878048,0.04878048780487805,1.329268292682927,14.3,0.492,7.238712195121951,Reserva
Michael Jackson,1990,PG,0.5882352941176471,0.47058823529411764,0.4117647058823529,0.0,0.29411764705882354,8.1,0.367,1.5634647058823528,Reserva
Avery Johnson,1990,PG,2.641509433962264,3.056603773584906,0.8113207547169812,0.018867924528301886,0.49056603773584906,11.6,0.439,3.5140886792452832,Reserva
Buck Johnson,1990,SF,14.817073170731707,3.073170731707317,4.646341463414634,0.7560975609756098,1.2682926829268293,12.9,0.534,7.565229268292682,Reserva
Dennis Johnson*,1990,PG,7.08,6.466666666666667,2.68,0.18666666666666668,1.08,12.4,0.495,5.942833333333333,Reserva
Eddie Johnson,1990,SF,16.875,1.671875,3.84375,0.15625,0.5,14.9,0.542,8.186075,Reserva
Eric Johnson,1990,PG,1.125,1.3333333333333333,0.5833333333333334,0.041666666666666664,0.3541666666666667,4.6,0.295,1.4674166666666666,Reserva
Kevin Johnson,1990,PG,22.5,11.432432432432432,3.6486486486486487,0.1891891891891892,1.2837837837837838,22.8,0.585,13.104851351351352,Role Player
Magic Johnson*,1990,PG,22.341772151898734,11.481012658227849,6.6075949367088604,0.43037974683544306,1.6708860759493671,26.6,0.622,13.65599746835443,Role Player
Marques Johnson,1990,SF,4.0,0.9,1.7,0.1,0.0,8.5,0.507,2.8756999999999997,Reserva
Steve Johnson,1990,C,4.68,0.68,2.12,0.2,0.12,9.6,0.545,2.60925,Reserva
Vinnie Johnson,1990,SG,9.804878048780488,3.1097560975609757,3.1219512195121952,0.15853658536585366,0.8658536585365854,12.9,0.467,5.521334146341464,Reserva
Nate Johnston,1990,PF-SF,2.1904761904761907,0.047619047619047616,1.0952380952380953,0.38095238095238093,0.14285714285714285,14.1,0.428,3.0863714285714283,Reserva
Anthony Jones,1990,SG,2.9545454545454546,0.4393939393939394,1.2424242424242424,0.24242424242424243,0.48484848484848486,7.6,0.435,2.075924242424242,Reserva
Caldwell Jones,1990,PF,2.4027777777777777,0.2777777777777778,3.1944444444444446,0.375,0.2777777777777778,7.2,0.516,2.5566000000000004,Reserva
